index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 47, 47^1, 1, 3, 
1, 142, 2^1 * 71^1, 1, 2, 
2, 71, 71^1, 1, 3, 
3, 214, 2^1 * 107^1, 1, 2, 
4, 107, 107^1, 1, 3, 
5, 322, 2^1 * 7^1 * 23^1, 2, 2, 
6, 161, 7^1 * 23^1, 2, 1, 
7, 484, 2^2 * 11^2, 2, 0,  peak
8, 242, 2^1 * 11^2, 2, 2, 
9, 121, 11^2, 2, 1, 
10, 364, 2^2 * 7^1 * 13^1, 2, 0,  peak
11, 182, 2^1 * 7^1 * 13^1, 2, 2, 
12, 91, 7^1 * 13^1, 2, 3, 
13, 274, 2^1 * 137^1, 1, 2, 
14, 137, 137^1, 1, 1, 
15, 412, 2^2 * 103^1, 1, 0,  peak
16, 206, 2^1 * 103^1, 1, 2, 
17, 103, 103^1, 1, 3, 
18, 310, 2^1 * 5^1 * 31^1, 2, 2, 
19, 155, 5^1 * 31^1, 2, 3, 
20, 466, 2^1 * 233^1, 1, 2, 
21, 233, 233^1, 1, 1, 
22, 700, 2^2 * 5^2 * 7^1, 3, 0,  peak
23, 350, 2^1 * 5^2 * 7^1, 3, 2, 
24, 175, 5^2 * 7^1, 3, 3, 
25, 526, 2^1 * 263^1, 1, 2, 
26, 263, 263^1, 1, 3, 
27, 790, 2^1 * 5^1 * 79^1, 2, 2, 
28, 395, 5^1 * 79^1, 2, 3, 
29, 1186, 2^1 * 593^1, 1, 2, 
30, 593, 593^1, 1, 1, 
31, 1780, 2^2 * 5^1 * 89^1, 2, 0,  peak
32, 890, 2^1 * 5^1 * 89^1, 2, 2, 
33, 445, 5^1 * 89^1, 2, 1, 
34, 1336, 2^3 * 167^1, 1, 0,  peak
35, 668, 2^2 * 167^1, 1, 0,  peak
36, 334, 2^1 * 167^1, 1, 2, 
37, 167, 167^1, 1, 3, 
38, 502, 2^1 * 251^1, 1, 2, 
39, 251, 251^1, 1, 3, 
40, 754, 2^1 * 13^1 * 29^1, 2, 2, 
41, 377, 13^1 * 29^1, 2, 1, 
42, 1132, 2^2 * 283^1, 1, 0,  peak
43, 566, 2^1 * 283^1, 1, 2, 
44, 283, 283^1, 1, 3, 
45, 850, 2^1 * 5^2 * 17^1, 3, 2, 
46, 425, 5^2 * 17^1, 3, 1, 
47, 1276, 2^2 * 11^1 * 29^1, 2, 0,  peak
48, 638, 2^1 * 11^1 * 29^1, 2, 2, 
49, 319, 11^1 * 29^1, 2, 3, 
50, 958, 2^1 * 479^1, 1, 2, 
51, 479, 479^1, 1, 3, 
52, 1438, 2^1 * 719^1, 1, 2, 
53, 719, 719^1, 1, 3, 
54, 2158, 2^1 * 13^1 * 83^1, 2, 2, 
55, 1079, 13^1 * 83^1, 2, 3, 
56, 3238, 2^1 * 1619^1, 1, 2, 
57, 1619, 1619^1, 1, 3, 
58, 4858, 2^1 * 7^1 * 347^1, 2, 2, 
59, 2429, 7^1 * 347^1, 2, 1, 
60, 7288, 2^3 * 911^1, 1, 0,  peak
61, 3644, 2^2 * 911^1, 1, 0,  peak
62, 1822, 2^1 * 911^1, 1, 2, 
63, 911, 911^1, 1, 3, 
64, 2734, 2^1 * 1367^1, 1, 2, 
65, 1367, 1367^1, 1, 3, 
66, 4102, 2^1 * 7^1 * 293^1, 2, 2, 
67, 2051, 7^1 * 293^1, 2, 3, 
68, 6154, 2^1 * 17^1 * 181^1, 2, 2, 
69, 3077, 17^1 * 181^1, 2, 1, 
70, 9232, 2^4 * 577^1, 1, 0,  peak
71, 4616, 2^3 * 577^1, 1, 0,  peak
72, 2308, 2^2 * 577^1, 1, 0,  peak
73, 1154, 2^1 * 577^1, 1, 2, 
74, 577, 577^1, 1, 1, 
75, 1732, 2^2 * 433^1, 1, 0,  peak
76, 866, 2^1 * 433^1, 1, 2, 
77, 433, 433^1, 1, 1, 
78, 1300, 2^2 * 5^2 * 13^1, 3, 0,  peak
79, 650, 2^1 * 5^2 * 13^1, 3, 2, 
80, 325, 5^2 * 13^1, 3, 1, 
81, 976, 2^4 * 61^1, 1, 0,  peak
82, 488, 2^3 * 61^1, 1, 0,  peak
83, 244, 2^2 * 61^1, 1, 0,  peak
84, 122, 2^1 * 61^1, 1, 2, 
85, 61, 61^1, 1, 1, 
86, 184, 2^3 * 23^1, 1, 0,  peak
87, 92, 2^2 * 23^1, 1, 0,  peak
88, 46, 2^1 * 23^1, 1, 2, 
89, 23, 23^1, 1, 3, 
90, 70, 2^1 * 5^1 * 7^1, 2, 2, 
91, 35, 5^1 * 7^1, 2, 3, 
92, 106, 2^1 * 53^1, 1, 2, 
93, 53, 53^1, 1, 1, 
94, 160, 2^5 * 5^1, 1, 0,  peak
95, 80, 2^4 * 5^1, 1, 0,  peak
96, 40, 2^3 * 5^1, 1, 0,  peak
97, 20, 2^2 * 5^1, 1, 0,  peak
98, 10, 2^1 * 5^1, 1, 2, 
99, 5, 5^1, 1, 1, 
100, 16, 2^4, 0, 0,  peak
101, 8, 2^3, 0, 0,  peak
102, 4, 2^2, 0, 0,  peak
103, 2, 2^1, 0, 2, 
104, 1, , 0, 1, 
