index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 9, 3^2, 2, 1, 
1, 28, 2^2 * 7^1, 1, 0,  peak
2, 14, 2^1 * 7^1, 1, 2, 
3, 7, 7^1, 1, 3, 
4, 22, 2^1 * 11^1, 1, 2, 
5, 11, 11^1, 1, 3, 
6, 34, 2^1 * 17^1, 1, 2, 
7, 17, 17^1, 1, 1, 
8, 52, 2^2 * 13^1, 1, 0,  peak
9, 26, 2^1 * 13^1, 1, 2, 
10, 13, 13^1, 1, 1, 
11, 40, 2^3 * 5^1, 1, 0,  peak
12, 20, 2^2 * 5^1, 1, 0,  peak
13, 10, 2^1 * 5^1, 1, 2, 
14, 5, 5^1, 1, 1, 
15, 16, 2^4, 0, 0,  peak
16, 8, 2^3, 0, 0,  peak
17, 4, 2^2, 0, 0,  peak
18, 2, 2^1, 0, 2, 
19, 1, , 0, 1, 
