index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 15, 3^1 * 5^1, 2, 3, 
1, 46, 2^1 * 23^1, 1, 2, 
2, 23, 23^1, 1, 3, 
3, 70, 2^1 * 5^1 * 7^1, 2, 2, 
4, 35, 5^1 * 7^1, 2, 3, 
5, 106, 2^1 * 53^1, 1, 2, 
6, 53, 53^1, 1, 1, 
7, 160, 2^5 * 5^1, 1, 0,  peak
8, 80, 2^4 * 5^1, 1, 0,  peak
9, 40, 2^3 * 5^1, 1, 0,  peak
10, 20, 2^2 * 5^1, 1, 0,  peak
11, 10, 2^1 * 5^1, 1, 2, 
12, 5, 5^1, 1, 1, 
13, 16, 2^4, 0, 0,  peak
14, 8, 2^3, 0, 0,  peak
15, 4, 2^2, 0, 0,  peak
16, 2, 2^1, 0, 2, 
17, 1, , 0, 1, 
