index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 55, 5^1 * 11^1, 2, 3, 
1, 166, 2^1 * 83^1, 1, 2, 
2, 83, 83^1, 1, 3, 
3, 250, 2^1 * 5^3, 3, 2, 
4, 125, 5^3, 3, 1, 
5, 376, 2^3 * 47^1, 1, 0,  peak
6, 188, 2^2 * 47^1, 1, 0,  peak
7, 94, 2^1 * 47^1, 1, 2, 
8, 47, 47^1, 1, 3, 
9, 142, 2^1 * 71^1, 1, 2, 
10, 71, 71^1, 1, 3, 
11, 214, 2^1 * 107^1, 1, 2, 
12, 107, 107^1, 1, 3, 
13, 322, 2^1 * 7^1 * 23^1, 2, 2, 
14, 161, 7^1 * 23^1, 2, 1, 
15, 484, 2^2 * 11^2, 2, 0,  peak
16, 242, 2^1 * 11^2, 2, 2, 
17, 121, 11^2, 2, 1, 
18, 364, 2^2 * 7^1 * 13^1, 2, 0,  peak
19, 182, 2^1 * 7^1 * 13^1, 2, 2, 
20, 91, 7^1 * 13^1, 2, 3, 
21, 274, 2^1 * 137^1, 1, 2, 
22, 137, 137^1, 1, 1, 
23, 412, 2^2 * 103^1, 1, 0,  peak
24, 206, 2^1 * 103^1, 1, 2, 
25, 103, 103^1, 1, 3, 
26, 310, 2^1 * 5^1 * 31^1, 2, 2, 
27, 155, 5^1 * 31^1, 2, 3, 
28, 466, 2^1 * 233^1, 1, 2, 
29, 233, 233^1, 1, 1, 
30, 700, 2^2 * 5^2 * 7^1, 3, 0,  peak
31, 350, 2^1 * 5^2 * 7^1, 3, 2, 
32, 175, 5^2 * 7^1, 3, 3, 
33, 526, 2^1 * 263^1, 1, 2, 
34, 263, 263^1, 1, 3, 
35, 790, 2^1 * 5^1 * 79^1, 2, 2, 
36, 395, 5^1 * 79^1, 2, 3, 
37, 1186, 2^1 * 593^1, 1, 2, 
38, 593, 593^1, 1, 1, 
39, 1780, 2^2 * 5^1 * 89^1, 2, 0,  peak
40, 890, 2^1 * 5^1 * 89^1, 2, 2, 
41, 445, 5^1 * 89^1, 2, 1, 
42, 1336, 2^3 * 167^1, 1, 0,  peak
43, 668, 2^2 * 167^1, 1, 0,  peak
44, 334, 2^1 * 167^1, 1, 2, 
45, 167, 167^1, 1, 3, 
46, 502, 2^1 * 251^1, 1, 2, 
47, 251, 251^1, 1, 3, 
48, 754, 2^1 * 13^1 * 29^1, 2, 2, 
49, 377, 13^1 * 29^1, 2, 1, 
50, 1132, 2^2 * 283^1, 1, 0,  peak
51, 566, 2^1 * 283^1, 1, 2, 
52, 283, 283^1, 1, 3, 
53, 850, 2^1 * 5^2 * 17^1, 3, 2, 
54, 425, 5^2 * 17^1, 3, 1, 
55, 1276, 2^2 * 11^1 * 29^1, 2, 0,  peak
56, 638, 2^1 * 11^1 * 29^1, 2, 2, 
57, 319, 11^1 * 29^1, 2, 3, 
58, 958, 2^1 * 479^1, 1, 2, 
59, 479, 479^1, 1, 3, 
60, 1438, 2^1 * 719^1, 1, 2, 
61, 719, 719^1, 1, 3, 
62, 2158, 2^1 * 13^1 * 83^1, 2, 2, 
63, 1079, 13^1 * 83^1, 2, 3, 
64, 3238, 2^1 * 1619^1, 1, 2, 
65, 1619, 1619^1, 1, 3, 
66, 4858, 2^1 * 7^1 * 347^1, 2, 2, 
67, 2429, 7^1 * 347^1, 2, 1, 
68, 7288, 2^3 * 911^1, 1, 0,  peak
69, 3644, 2^2 * 911^1, 1, 0,  peak
70, 1822, 2^1 * 911^1, 1, 2, 
71, 911, 911^1, 1, 3, 
72, 2734, 2^1 * 1367^1, 1, 2, 
73, 1367, 1367^1, 1, 3, 
74, 4102, 2^1 * 7^1 * 293^1, 2, 2, 
75, 2051, 7^1 * 293^1, 2, 3, 
76, 6154, 2^1 * 17^1 * 181^1, 2, 2, 
77, 3077, 17^1 * 181^1, 2, 1, 
78, 9232, 2^4 * 577^1, 1, 0,  peak
79, 4616, 2^3 * 577^1, 1, 0,  peak
80, 2308, 2^2 * 577^1, 1, 0,  peak
81, 1154, 2^1 * 577^1, 1, 2, 
82, 577, 577^1, 1, 1, 
83, 1732, 2^2 * 433^1, 1, 0,  peak
84, 866, 2^1 * 433^1, 1, 2, 
85, 433, 433^1, 1, 1, 
86, 1300, 2^2 * 5^2 * 13^1, 3, 0,  peak
87, 650, 2^1 * 5^2 * 13^1, 3, 2, 
88, 325, 5^2 * 13^1, 3, 1, 
89, 976, 2^4 * 61^1, 1, 0,  peak
90, 488, 2^3 * 61^1, 1, 0,  peak
91, 244, 2^2 * 61^1, 1, 0,  peak
92, 122, 2^1 * 61^1, 1, 2, 
93, 61, 61^1, 1, 1, 
94, 184, 2^3 * 23^1, 1, 0,  peak
95, 92, 2^2 * 23^1, 1, 0,  peak
96, 46, 2^1 * 23^1, 1, 2, 
97, 23, 23^1, 1, 3, 
98, 70, 2^1 * 5^1 * 7^1, 2, 2, 
99, 35, 5^1 * 7^1, 2, 3, 
100, 106, 2^1 * 53^1, 1, 2, 
101, 53, 53^1, 1, 1, 
102, 160, 2^5 * 5^1, 1, 0,  peak
103, 80, 2^4 * 5^1, 1, 0,  peak
104, 40, 2^3 * 5^1, 1, 0,  peak
105, 20, 2^2 * 5^1, 1, 0,  peak
106, 10, 2^1 * 5^1, 1, 2, 
107, 5, 5^1, 1, 1, 
108, 16, 2^4, 0, 0,  peak
109, 8, 2^3, 0, 0,  peak
110, 4, 2^2, 0, 0,  peak
111, 2, 2^1, 0, 2, 
112, 1, , 0, 1, 
