index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 25, 5^2, 2, 1, 
1, 76, 2^2 * 19^1, 1, 0,  peak
2, 38, 2^1 * 19^1, 1, 2, 
3, 19, 19^1, 1, 3, 
4, 58, 2^1 * 29^1, 1, 2, 
5, 29, 29^1, 1, 1, 
6, 88, 2^3 * 11^1, 1, 0,  peak
7, 44, 2^2 * 11^1, 1, 0,  peak
8, 22, 2^1 * 11^1, 1, 2, 
9, 11, 11^1, 1, 3, 
10, 34, 2^1 * 17^1, 1, 2, 
11, 17, 17^1, 1, 1, 
12, 52, 2^2 * 13^1, 1, 0,  peak
13, 26, 2^1 * 13^1, 1, 2, 
14, 13, 13^1, 1, 1, 
15, 40, 2^3 * 5^1, 1, 0,  peak
16, 20, 2^2 * 5^1, 1, 0,  peak
17, 10, 2^1 * 5^1, 1, 2, 
18, 5, 5^1, 1, 1, 
19, 16, 2^4, 0, 0,  peak
20, 8, 2^3, 0, 0,  peak
21, 4, 2^2, 0, 0,  peak
22, 2, 2^1, 0, 2, 
23, 1, , 0, 1, 
