index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 27, 3^3, 3, 3, 
1, 82, 2^1 * 41^1, 1, 2, 
2, 41, 41^1, 1, 1, 
3, 124, 2^2 * 31^1, 1, 0,  peak
4, 62, 2^1 * 31^1, 1, 2, 
5, 31, 31^1, 1, 3, 
6, 94, 2^1 * 47^1, 1, 2, 
7, 47, 47^1, 1, 3, 
8, 142, 2^1 * 71^1, 1, 2, 
9, 71, 71^1, 1, 3, 
10, 214, 2^1 * 107^1, 1, 2, 
11, 107, 107^1, 1, 3, 
12, 322, 2^1 * 7^1 * 23^1, 2, 2, 
13, 161, 7^1 * 23^1, 2, 1, 
14, 484, 2^2 * 11^2, 2, 0,  peak
15, 242, 2^1 * 11^2, 2, 2, 
16, 121, 11^2, 2, 1, 
17, 364, 2^2 * 7^1 * 13^1, 2, 0,  peak
18, 182, 2^1 * 7^1 * 13^1, 2, 2, 
19, 91, 7^1 * 13^1, 2, 3, 
20, 274, 2^1 * 137^1, 1, 2, 
21, 137, 137^1, 1, 1, 
22, 412, 2^2 * 103^1, 1, 0,  peak
23, 206, 2^1 * 103^1, 1, 2, 
24, 103, 103^1, 1, 3, 
25, 310, 2^1 * 5^1 * 31^1, 2, 2, 
26, 155, 5^1 * 31^1, 2, 3, 
27, 466, 2^1 * 233^1, 1, 2, 
28, 233, 233^1, 1, 1, 
29, 700, 2^2 * 5^2 * 7^1, 3, 0,  peak
30, 350, 2^1 * 5^2 * 7^1, 3, 2, 
31, 175, 5^2 * 7^1, 3, 3, 
32, 526, 2^1 * 263^1, 1, 2, 
33, 263, 263^1, 1, 3, 
34, 790, 2^1 * 5^1 * 79^1, 2, 2, 
35, 395, 5^1 * 79^1, 2, 3, 
36, 1186, 2^1 * 593^1, 1, 2, 
37, 593, 593^1, 1, 1, 
38, 1780, 2^2 * 5^1 * 89^1, 2, 0,  peak
39, 890, 2^1 * 5^1 * 89^1, 2, 2, 
40, 445, 5^1 * 89^1, 2, 1, 
41, 1336, 2^3 * 167^1, 1, 0,  peak
42, 668, 2^2 * 167^1, 1, 0,  peak
43, 334, 2^1 * 167^1, 1, 2, 
44, 167, 167^1, 1, 3, 
45, 502, 2^1 * 251^1, 1, 2, 
46, 251, 251^1, 1, 3, 
47, 754, 2^1 * 13^1 * 29^1, 2, 2, 
48, 377, 13^1 * 29^1, 2, 1, 
49, 1132, 2^2 * 283^1, 1, 0,  peak
50, 566, 2^1 * 283^1, 1, 2, 
51, 283, 283^1, 1, 3, 
52, 850, 2^1 * 5^2 * 17^1, 3, 2, 
53, 425, 5^2 * 17^1, 3, 1, 
54, 1276, 2^2 * 11^1 * 29^1, 2, 0,  peak
55, 638, 2^1 * 11^1 * 29^1, 2, 2, 
56, 319, 11^1 * 29^1, 2, 3, 
57, 958, 2^1 * 479^1, 1, 2, 
58, 479, 479^1, 1, 3, 
59, 1438, 2^1 * 719^1, 1, 2, 
60, 719, 719^1, 1, 3, 
61, 2158, 2^1 * 13^1 * 83^1, 2, 2, 
62, 1079, 13^1 * 83^1, 2, 3, 
63, 3238, 2^1 * 1619^1, 1, 2, 
64, 1619, 1619^1, 1, 3, 
65, 4858, 2^1 * 7^1 * 347^1, 2, 2, 
66, 2429, 7^1 * 347^1, 2, 1, 
67, 7288, 2^3 * 911^1, 1, 0,  peak
68, 3644, 2^2 * 911^1, 1, 0,  peak
69, 1822, 2^1 * 911^1, 1, 2, 
70, 911, 911^1, 1, 3, 
71, 2734, 2^1 * 1367^1, 1, 2, 
72, 1367, 1367^1, 1, 3, 
73, 4102, 2^1 * 7^1 * 293^1, 2, 2, 
74, 2051, 7^1 * 293^1, 2, 3, 
75, 6154, 2^1 * 17^1 * 181^1, 2, 2, 
76, 3077, 17^1 * 181^1, 2, 1, 
77, 9232, 2^4 * 577^1, 1, 0,  peak
78, 4616, 2^3 * 577^1, 1, 0,  peak
79, 2308, 2^2 * 577^1, 1, 0,  peak
80, 1154, 2^1 * 577^1, 1, 2, 
81, 577, 577^1, 1, 1, 
82, 1732, 2^2 * 433^1, 1, 0,  peak
83, 866, 2^1 * 433^1, 1, 2, 
84, 433, 433^1, 1, 1, 
85, 1300, 2^2 * 5^2 * 13^1, 3, 0,  peak
86, 650, 2^1 * 5^2 * 13^1, 3, 2, 
87, 325, 5^2 * 13^1, 3, 1, 
88, 976, 2^4 * 61^1, 1, 0,  peak
89, 488, 2^3 * 61^1, 1, 0,  peak
90, 244, 2^2 * 61^1, 1, 0,  peak
91, 122, 2^1 * 61^1, 1, 2, 
92, 61, 61^1, 1, 1, 
93, 184, 2^3 * 23^1, 1, 0,  peak
94, 92, 2^2 * 23^1, 1, 0,  peak
95, 46, 2^1 * 23^1, 1, 2, 
96, 23, 23^1, 1, 3, 
97, 70, 2^1 * 5^1 * 7^1, 2, 2, 
98, 35, 5^1 * 7^1, 2, 3, 
99, 106, 2^1 * 53^1, 1, 2, 
100, 53, 53^1, 1, 1, 
101, 160, 2^5 * 5^1, 1, 0,  peak
102, 80, 2^4 * 5^1, 1, 0,  peak
103, 40, 2^3 * 5^1, 1, 0,  peak
104, 20, 2^2 * 5^1, 1, 0,  peak
105, 10, 2^1 * 5^1, 1, 2, 
106, 5, 5^1, 1, 1, 
107, 16, 2^4, 0, 0,  peak
108, 8, 2^3, 0, 0,  peak
109, 4, 2^2, 0, 0,  peak
110, 2, 2^1, 0, 2, 
111, 1, , 0, 1, 
