index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 36, 2^2 * 3^2, 2, 0,  peak
1, 18, 2^1 * 3^2, 2, 2, 
2, 9, 3^2, 2, 1, 
3, 28, 2^2 * 7^1, 1, 0,  peak
4, 14, 2^1 * 7^1, 1, 2, 
5, 7, 7^1, 1, 3, 
6, 22, 2^1 * 11^1, 1, 2, 
7, 11, 11^1, 1, 3, 
8, 34, 2^1 * 17^1, 1, 2, 
9, 17, 17^1, 1, 1, 
10, 52, 2^2 * 13^1, 1, 0,  peak
11, 26, 2^1 * 13^1, 1, 2, 
12, 13, 13^1, 1, 1, 
13, 40, 2^3 * 5^1, 1, 0,  peak
14, 20, 2^2 * 5^1, 1, 0,  peak
15, 10, 2^1 * 5^1, 1, 2, 
16, 5, 5^1, 1, 1, 
17, 16, 2^4, 0, 0,  peak
18, 8, 2^3, 0, 0,  peak
19, 4, 2^2, 0, 0,  peak
20, 2, 2^1, 0, 2, 
21, 1, , 0, 1, 
