index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 60, 2^2 * 3^1 * 5^1, 2, 0,  peak
1, 30, 2^1 * 3^1 * 5^1, 2, 2, 
2, 15, 3^1 * 5^1, 2, 3, 
3, 46, 2^1 * 23^1, 1, 2, 
4, 23, 23^1, 1, 3, 
5, 70, 2^1 * 5^1 * 7^1, 2, 2, 
6, 35, 5^1 * 7^1, 2, 3, 
7, 106, 2^1 * 53^1, 1, 2, 
8, 53, 53^1, 1, 1, 
9, 160, 2^5 * 5^1, 1, 0,  peak
10, 80, 2^4 * 5^1, 1, 0,  peak
11, 40, 2^3 * 5^1, 1, 0,  peak
12, 20, 2^2 * 5^1, 1, 0,  peak
13, 10, 2^1 * 5^1, 1, 2, 
14, 5, 5^1, 1, 1, 
15, 16, 2^4, 0, 0,  peak
16, 8, 2^3, 0, 0,  peak
17, 4, 2^2, 0, 0,  peak
18, 2, 2^1, 0, 2, 
19, 1, , 0, 1, 
