index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 31, 31^1, 1, 3, 
1, 94, 2^1 * 47^1, 1, 2, 
2, 47, 47^1, 1, 3, 
3, 142, 2^1 * 71^1, 1, 2, 
4, 71, 71^1, 1, 3, 
5, 214, 2^1 * 107^1, 1, 2, 
6, 107, 107^1, 1, 3, 
7, 322, 2^1 * 7^1 * 23^1, 2, 2, 
8, 161, 7^1 * 23^1, 2, 1, 
9, 484, 2^2 * 11^2, 2, 0,  peak
10, 242, 2^1 * 11^2, 2, 2, 
11, 121, 11^2, 2, 1, 
12, 364, 2^2 * 7^1 * 13^1, 2, 0,  peak
13, 182, 2^1 * 7^1 * 13^1, 2, 2, 
14, 91, 7^1 * 13^1, 2, 3, 
15, 274, 2^1 * 137^1, 1, 2, 
16, 137, 137^1, 1, 1, 
17, 412, 2^2 * 103^1, 1, 0,  peak
18, 206, 2^1 * 103^1, 1, 2, 
19, 103, 103^1, 1, 3, 
20, 310, 2^1 * 5^1 * 31^1, 2, 2, 
21, 155, 5^1 * 31^1, 2, 3, 
22, 466, 2^1 * 233^1, 1, 2, 
23, 233, 233^1, 1, 1, 
24, 700, 2^2 * 5^2 * 7^1, 3, 0,  peak
25, 350, 2^1 * 5^2 * 7^1, 3, 2, 
26, 175, 5^2 * 7^1, 3, 3, 
27, 526, 2^1 * 263^1, 1, 2, 
28, 263, 263^1, 1, 3, 
29, 790, 2^1 * 5^1 * 79^1, 2, 2, 
30, 395, 5^1 * 79^1, 2, 3, 
31, 1186, 2^1 * 593^1, 1, 2, 
32, 593, 593^1, 1, 1, 
33, 1780, 2^2 * 5^1 * 89^1, 2, 0,  peak
34, 890, 2^1 * 5^1 * 89^1, 2, 2, 
35, 445, 5^1 * 89^1, 2, 1, 
36, 1336, 2^3 * 167^1, 1, 0,  peak
37, 668, 2^2 * 167^1, 1, 0,  peak
38, 334, 2^1 * 167^1, 1, 2, 
39, 167, 167^1, 1, 3, 
40, 502, 2^1 * 251^1, 1, 2, 
41, 251, 251^1, 1, 3, 
42, 754, 2^1 * 13^1 * 29^1, 2, 2, 
43, 377, 13^1 * 29^1, 2, 1, 
44, 1132, 2^2 * 283^1, 1, 0,  peak
45, 566, 2^1 * 283^1, 1, 2, 
46, 283, 283^1, 1, 3, 
47, 850, 2^1 * 5^2 * 17^1, 3, 2, 
48, 425, 5^2 * 17^1, 3, 1, 
49, 1276, 2^2 * 11^1 * 29^1, 2, 0,  peak
50, 638, 2^1 * 11^1 * 29^1, 2, 2, 
51, 319, 11^1 * 29^1, 2, 3, 
52, 958, 2^1 * 479^1, 1, 2, 
53, 479, 479^1, 1, 3, 
54, 1438, 2^1 * 719^1, 1, 2, 
55, 719, 719^1, 1, 3, 
56, 2158, 2^1 * 13^1 * 83^1, 2, 2, 
57, 1079, 13^1 * 83^1, 2, 3, 
58, 3238, 2^1 * 1619^1, 1, 2, 
59, 1619, 1619^1, 1, 3, 
60, 4858, 2^1 * 7^1 * 347^1, 2, 2, 
61, 2429, 7^1 * 347^1, 2, 1, 
62, 7288, 2^3 * 911^1, 1, 0,  peak
63, 3644, 2^2 * 911^1, 1, 0,  peak
64, 1822, 2^1 * 911^1, 1, 2, 
65, 911, 911^1, 1, 3, 
66, 2734, 2^1 * 1367^1, 1, 2, 
67, 1367, 1367^1, 1, 3, 
68, 4102, 2^1 * 7^1 * 293^1, 2, 2, 
69, 2051, 7^1 * 293^1, 2, 3, 
70, 6154, 2^1 * 17^1 * 181^1, 2, 2, 
71, 3077, 17^1 * 181^1, 2, 1, 
72, 9232, 2^4 * 577^1, 1, 0,  peak
73, 4616, 2^3 * 577^1, 1, 0,  peak
74, 2308, 2^2 * 577^1, 1, 0,  peak
75, 1154, 2^1 * 577^1, 1, 2, 
76, 577, 577^1, 1, 1, 
77, 1732, 2^2 * 433^1, 1, 0,  peak
78, 866, 2^1 * 433^1, 1, 2, 
79, 433, 433^1, 1, 1, 
80, 1300, 2^2 * 5^2 * 13^1, 3, 0,  peak
81, 650, 2^1 * 5^2 * 13^1, 3, 2, 
82, 325, 5^2 * 13^1, 3, 1, 
83, 976, 2^4 * 61^1, 1, 0,  peak
84, 488, 2^3 * 61^1, 1, 0,  peak
85, 244, 2^2 * 61^1, 1, 0,  peak
86, 122, 2^1 * 61^1, 1, 2, 
87, 61, 61^1, 1, 1, 
88, 184, 2^3 * 23^1, 1, 0,  peak
89, 92, 2^2 * 23^1, 1, 0,  peak
90, 46, 2^1 * 23^1, 1, 2, 
91, 23, 23^1, 1, 3, 
92, 70, 2^1 * 5^1 * 7^1, 2, 2, 
93, 35, 5^1 * 7^1, 2, 3, 
94, 106, 2^1 * 53^1, 1, 2, 
95, 53, 53^1, 1, 1, 
96, 160, 2^5 * 5^1, 1, 0,  peak
97, 80, 2^4 * 5^1, 1, 0,  peak
98, 40, 2^3 * 5^1, 1, 0,  peak
99, 20, 2^2 * 5^1, 1, 0,  peak
100, 10, 2^1 * 5^1, 1, 2, 
101, 5, 5^1, 1, 1, 
102, 16, 2^4, 0, 0,  peak
103, 8, 2^3, 0, 0,  peak
104, 4, 2^2, 0, 0,  peak
105, 2, 2^1, 0, 2, 
106, 1, , 0, 1, 
