index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 39, 3^1 * 13^1, 2, 3, 
1, 118, 2^1 * 59^1, 1, 2, 
2, 59, 59^1, 1, 3, 
3, 178, 2^1 * 89^1, 1, 2, 
4, 89, 89^1, 1, 1, 
5, 268, 2^2 * 67^1, 1, 0,  peak
6, 134, 2^1 * 67^1, 1, 2, 
7, 67, 67^1, 1, 3, 
8, 202, 2^1 * 101^1, 1, 2, 
9, 101, 101^1, 1, 1, 
10, 304, 2^4 * 19^1, 1, 0,  peak
11, 152, 2^3 * 19^1, 1, 0,  peak
12, 76, 2^2 * 19^1, 1, 0,  peak
13, 38, 2^1 * 19^1, 1, 2, 
14, 19, 19^1, 1, 3, 
15, 58, 2^1 * 29^1, 1, 2, 
16, 29, 29^1, 1, 1, 
17, 88, 2^3 * 11^1, 1, 0,  peak
18, 44, 2^2 * 11^1, 1, 0,  peak
19, 22, 2^1 * 11^1, 1, 2, 
20, 11, 11^1, 1, 3, 
21, 34, 2^1 * 17^1, 1, 2, 
22, 17, 17^1, 1, 1, 
23, 52, 2^2 * 13^1, 1, 0,  peak
24, 26, 2^1 * 13^1, 1, 2, 
25, 13, 13^1, 1, 1, 
26, 40, 2^3 * 5^1, 1, 0,  peak
27, 20, 2^2 * 5^1, 1, 0,  peak
28, 10, 2^1 * 5^1, 1, 2, 
29, 5, 5^1, 1, 1, 
30, 16, 2^4, 0, 0,  peak
31, 8, 2^3, 0, 0,  peak
32, 4, 2^2, 0, 0,  peak
33, 2, 2^1, 0, 2, 
34, 1, , 0, 1, 
