index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 46, 2^1 * 23^1, 1, 2, 
1, 23, 23^1, 1, 3, 
2, 70, 2^1 * 5^1 * 7^1, 2, 2, 
3, 35, 5^1 * 7^1, 2, 3, 
4, 106, 2^1 * 53^1, 1, 2, 
5, 53, 53^1, 1, 1, 
6, 160, 2^5 * 5^1, 1, 0,  peak
7, 80, 2^4 * 5^1, 1, 0,  peak
8, 40, 2^3 * 5^1, 1, 0,  peak
9, 20, 2^2 * 5^1, 1, 0,  peak
10, 10, 2^1 * 5^1, 1, 2, 
11, 5, 5^1, 1, 1, 
12, 16, 2^4, 0, 0,  peak
13, 8, 2^3, 0, 0,  peak
14, 4, 2^2, 0, 0,  peak
15, 2, 2^1, 0, 2, 
16, 1, , 0, 1, 
