index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 57, 3^1 * 19^1, 2, 1, 
1, 172, 2^2 * 43^1, 1, 0,  peak
2, 86, 2^1 * 43^1, 1, 2, 
3, 43, 43^1, 1, 3, 
4, 130, 2^1 * 5^1 * 13^1, 2, 2, 
5, 65, 5^1 * 13^1, 2, 1, 
6, 196, 2^2 * 7^2, 2, 0,  peak
7, 98, 2^1 * 7^2, 2, 2, 
8, 49, 7^2, 2, 1, 
9, 148, 2^2 * 37^1, 1, 0,  peak
10, 74, 2^1 * 37^1, 1, 2, 
11, 37, 37^1, 1, 1, 
12, 112, 2^4 * 7^1, 1, 0,  peak
13, 56, 2^3 * 7^1, 1, 0,  peak
14, 28, 2^2 * 7^1, 1, 0,  peak
15, 14, 2^1 * 7^1, 1, 2, 
16, 7, 7^1, 1, 3, 
17, 22, 2^1 * 11^1, 1, 2, 
18, 11, 11^1, 1, 3, 
19, 34, 2^1 * 17^1, 1, 2, 
20, 17, 17^1, 1, 1, 
21, 52, 2^2 * 13^1, 1, 0,  peak
22, 26, 2^1 * 13^1, 1, 2, 
23, 13, 13^1, 1, 1, 
24, 40, 2^3 * 5^1, 1, 0,  peak
25, 20, 2^2 * 5^1, 1, 0,  peak
26, 10, 2^1 * 5^1, 1, 2, 
27, 5, 5^1, 1, 1, 
28, 16, 2^4, 0, 0,  peak
29, 8, 2^3, 0, 0,  peak
30, 4, 2^2, 0, 0,  peak
31, 2, 2^1, 0, 2, 
32, 1, , 0, 1, 
