index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 30, 2^1 * 3^1 * 5^1, 2, 2, 
1, 15, 3^1 * 5^1, 2, 3, 
2, 46, 2^1 * 23^1, 1, 2, 
3, 23, 23^1, 1, 3, 
4, 70, 2^1 * 5^1 * 7^1, 2, 2, 
5, 35, 5^1 * 7^1, 2, 3, 
6, 106, 2^1 * 53^1, 1, 2, 
7, 53, 53^1, 1, 1, 
8, 160, 2^5 * 5^1, 1, 0,  peak
9, 80, 2^4 * 5^1, 1, 0,  peak
10, 40, 2^3 * 5^1, 1, 0,  peak
11, 20, 2^2 * 5^1, 1, 0,  peak
12, 10, 2^1 * 5^1, 1, 2, 
13, 5, 5^1, 1, 1, 
14, 16, 2^4, 0, 0,  peak
15, 8, 2^3, 0, 0,  peak
16, 4, 2^2, 0, 0,  peak
17, 2, 2^1, 0, 2, 
18, 1, , 0, 1, 
