index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 43, 43^1, 1, 3, 
1, 130, 2^1 * 5^1 * 13^1, 2, 2, 
2, 65, 5^1 * 13^1, 2, 1, 
3, 196, 2^2 * 7^2, 2, 0,  peak
4, 98, 2^1 * 7^2, 2, 2, 
5, 49, 7^2, 2, 1, 
6, 148, 2^2 * 37^1, 1, 0,  peak
7, 74, 2^1 * 37^1, 1, 2, 
8, 37, 37^1, 1, 1, 
9, 112, 2^4 * 7^1, 1, 0,  peak
10, 56, 2^3 * 7^1, 1, 0,  peak
11, 28, 2^2 * 7^1, 1, 0,  peak
12, 14, 2^1 * 7^1, 1, 2, 
13, 7, 7^1, 1, 3, 
14, 22, 2^1 * 11^1, 1, 2, 
15, 11, 11^1, 1, 3, 
16, 34, 2^1 * 17^1, 1, 2, 
17, 17, 17^1, 1, 1, 
18, 52, 2^2 * 13^1, 1, 0,  peak
19, 26, 2^1 * 13^1, 1, 2, 
20, 13, 13^1, 1, 1, 
21, 40, 2^3 * 5^1, 1, 0,  peak
22, 20, 2^2 * 5^1, 1, 0,  peak
23, 10, 2^1 * 5^1, 1, 2, 
24, 5, 5^1, 1, 1, 
25, 16, 2^4, 0, 0,  peak
26, 8, 2^3, 0, 0,  peak
27, 4, 2^2, 0, 0,  peak
28, 2, 2^1, 0, 2, 
29, 1, , 0, 1, 
