index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 59, 59^1, 1, 3, 
1, 178, 2^1 * 89^1, 1, 2, 
2, 89, 89^1, 1, 1, 
3, 268, 2^2 * 67^1, 1, 0,  peak
4, 134, 2^1 * 67^1, 1, 2, 
5, 67, 67^1, 1, 3, 
6, 202, 2^1 * 101^1, 1, 2, 
7, 101, 101^1, 1, 1, 
8, 304, 2^4 * 19^1, 1, 0,  peak
9, 152, 2^3 * 19^1, 1, 0,  peak
10, 76, 2^2 * 19^1, 1, 0,  peak
11, 38, 2^1 * 19^1, 1, 2, 
12, 19, 19^1, 1, 3, 
13, 58, 2^1 * 29^1, 1, 2, 
14, 29, 29^1, 1, 1, 
15, 88, 2^3 * 11^1, 1, 0,  peak
16, 44, 2^2 * 11^1, 1, 0,  peak
17, 22, 2^1 * 11^1, 1, 2, 
18, 11, 11^1, 1, 3, 
19, 34, 2^1 * 17^1, 1, 2, 
20, 17, 17^1, 1, 1, 
21, 52, 2^2 * 13^1, 1, 0,  peak
22, 26, 2^1 * 13^1, 1, 2, 
23, 13, 13^1, 1, 1, 
24, 40, 2^3 * 5^1, 1, 0,  peak
25, 20, 2^2 * 5^1, 1, 0,  peak
26, 10, 2^1 * 5^1, 1, 2, 
27, 5, 5^1, 1, 1, 
28, 16, 2^4, 0, 0,  peak
29, 8, 2^3, 0, 0,  peak
30, 4, 2^2, 0, 0,  peak
31, 2, 2^1, 0, 2, 
32, 1, , 0, 1, 
