index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 51, 3^1 * 17^1, 2, 3, 
1, 154, 2^1 * 7^1 * 11^1, 2, 2, 
2, 77, 7^1 * 11^1, 2, 1, 
3, 232, 2^3 * 29^1, 1, 0,  peak
4, 116, 2^2 * 29^1, 1, 0,  peak
5, 58, 2^1 * 29^1, 1, 2, 
6, 29, 29^1, 1, 1, 
7, 88, 2^3 * 11^1, 1, 0,  peak
8, 44, 2^2 * 11^1, 1, 0,  peak
9, 22, 2^1 * 11^1, 1, 2, 
10, 11, 11^1, 1, 3, 
11, 34, 2^1 * 17^1, 1, 2, 
12, 17, 17^1, 1, 1, 
13, 52, 2^2 * 13^1, 1, 0,  peak
14, 26, 2^1 * 13^1, 1, 2, 
15, 13, 13^1, 1, 1, 
16, 40, 2^3 * 5^1, 1, 0,  peak
17, 20, 2^2 * 5^1, 1, 0,  peak
18, 10, 2^1 * 5^1, 1, 2, 
19, 5, 5^1, 1, 1, 
20, 16, 2^4, 0, 0,  peak
21, 8, 2^3, 0, 0,  peak
22, 4, 2^2, 0, 0,  peak
23, 2, 2^1, 0, 2, 
24, 1, , 0, 1, 
