index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 41, 41^1, 1, 1, 
1, 124, 2^2 * 31^1, 1, 0,  peak
2, 62, 2^1 * 31^1, 1, 2, 
3, 31, 31^1, 1, 3, 
4, 94, 2^1 * 47^1, 1, 2, 
5, 47, 47^1, 1, 3, 
6, 142, 2^1 * 71^1, 1, 2, 
7, 71, 71^1, 1, 3, 
8, 214, 2^1 * 107^1, 1, 2, 
9, 107, 107^1, 1, 3, 
10, 322, 2^1 * 7^1 * 23^1, 2, 2, 
11, 161, 7^1 * 23^1, 2, 1, 
12, 484, 2^2 * 11^2, 2, 0,  peak
13, 242, 2^1 * 11^2, 2, 2, 
14, 121, 11^2, 2, 1, 
15, 364, 2^2 * 7^1 * 13^1, 2, 0,  peak
16, 182, 2^1 * 7^1 * 13^1, 2, 2, 
17, 91, 7^1 * 13^1, 2, 3, 
18, 274, 2^1 * 137^1, 1, 2, 
19, 137, 137^1, 1, 1, 
20, 412, 2^2 * 103^1, 1, 0,  peak
21, 206, 2^1 * 103^1, 1, 2, 
22, 103, 103^1, 1, 3, 
23, 310, 2^1 * 5^1 * 31^1, 2, 2, 
24, 155, 5^1 * 31^1, 2, 3, 
25, 466, 2^1 * 233^1, 1, 2, 
26, 233, 233^1, 1, 1, 
27, 700, 2^2 * 5^2 * 7^1, 3, 0,  peak
28, 350, 2^1 * 5^2 * 7^1, 3, 2, 
29, 175, 5^2 * 7^1, 3, 3, 
30, 526, 2^1 * 263^1, 1, 2, 
31, 263, 263^1, 1, 3, 
32, 790, 2^1 * 5^1 * 79^1, 2, 2, 
33, 395, 5^1 * 79^1, 2, 3, 
34, 1186, 2^1 * 593^1, 1, 2, 
35, 593, 593^1, 1, 1, 
36, 1780, 2^2 * 5^1 * 89^1, 2, 0,  peak
37, 890, 2^1 * 5^1 * 89^1, 2, 2, 
38, 445, 5^1 * 89^1, 2, 1, 
39, 1336, 2^3 * 167^1, 1, 0,  peak
40, 668, 2^2 * 167^1, 1, 0,  peak
41, 334, 2^1 * 167^1, 1, 2, 
42, 167, 167^1, 1, 3, 
43, 502, 2^1 * 251^1, 1, 2, 
44, 251, 251^1, 1, 3, 
45, 754, 2^1 * 13^1 * 29^1, 2, 2, 
46, 377, 13^1 * 29^1, 2, 1, 
47, 1132, 2^2 * 283^1, 1, 0,  peak
48, 566, 2^1 * 283^1, 1, 2, 
49, 283, 283^1, 1, 3, 
50, 850, 2^1 * 5^2 * 17^1, 3, 2, 
51, 425, 5^2 * 17^1, 3, 1, 
52, 1276, 2^2 * 11^1 * 29^1, 2, 0,  peak
53, 638, 2^1 * 11^1 * 29^1, 2, 2, 
54, 319, 11^1 * 29^1, 2, 3, 
55, 958, 2^1 * 479^1, 1, 2, 
56, 479, 479^1, 1, 3, 
57, 1438, 2^1 * 719^1, 1, 2, 
58, 719, 719^1, 1, 3, 
59, 2158, 2^1 * 13^1 * 83^1, 2, 2, 
60, 1079, 13^1 * 83^1, 2, 3, 
61, 3238, 2^1 * 1619^1, 1, 2, 
62, 1619, 1619^1, 1, 3, 
63, 4858, 2^1 * 7^1 * 347^1, 2, 2, 
64, 2429, 7^1 * 347^1, 2, 1, 
65, 7288, 2^3 * 911^1, 1, 0,  peak
66, 3644, 2^2 * 911^1, 1, 0,  peak
67, 1822, 2^1 * 911^1, 1, 2, 
68, 911, 911^1, 1, 3, 
69, 2734, 2^1 * 1367^1, 1, 2, 
70, 1367, 1367^1, 1, 3, 
71, 4102, 2^1 * 7^1 * 293^1, 2, 2, 
72, 2051, 7^1 * 293^1, 2, 3, 
73, 6154, 2^1 * 17^1 * 181^1, 2, 2, 
74, 3077, 17^1 * 181^1, 2, 1, 
75, 9232, 2^4 * 577^1, 1, 0,  peak
76, 4616, 2^3 * 577^1, 1, 0,  peak
77, 2308, 2^2 * 577^1, 1, 0,  peak
78, 1154, 2^1 * 577^1, 1, 2, 
79, 577, 577^1, 1, 1, 
80, 1732, 2^2 * 433^1, 1, 0,  peak
81, 866, 2^1 * 433^1, 1, 2, 
82, 433, 433^1, 1, 1, 
83, 1300, 2^2 * 5^2 * 13^1, 3, 0,  peak
84, 650, 2^1 * 5^2 * 13^1, 3, 2, 
85, 325, 5^2 * 13^1, 3, 1, 
86, 976, 2^4 * 61^1, 1, 0,  peak
87, 488, 2^3 * 61^1, 1, 0,  peak
88, 244, 2^2 * 61^1, 1, 0,  peak
89, 122, 2^1 * 61^1, 1, 2, 
90, 61, 61^1, 1, 1, 
91, 184, 2^3 * 23^1, 1, 0,  peak
92, 92, 2^2 * 23^1, 1, 0,  peak
93, 46, 2^1 * 23^1, 1, 2, 
94, 23, 23^1, 1, 3, 
95, 70, 2^1 * 5^1 * 7^1, 2, 2, 
96, 35, 5^1 * 7^1, 2, 3, 
97, 106, 2^1 * 53^1, 1, 2, 
98, 53, 53^1, 1, 1, 
99, 160, 2^5 * 5^1, 1, 0,  peak
100, 80, 2^4 * 5^1, 1, 0,  peak
101, 40, 2^3 * 5^1, 1, 0,  peak
102, 20, 2^2 * 5^1, 1, 0,  peak
103, 10, 2^1 * 5^1, 1, 2, 
104, 5, 5^1, 1, 1, 
105, 16, 2^4, 0, 0,  peak
106, 8, 2^3, 0, 0,  peak
107, 4, 2^2, 0, 0,  peak
108, 2, 2^1, 0, 2, 
109, 1, , 0, 1, 
