,MapFromOne,Mod6,color,distanceFromOne
182,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1]",2,,93
184,"[4, 5, 1, 1, 3]",4,,18
202,"[4, 3, 2, 1, 3, 1, 4, 1]",4,,26
206,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1]",2,,88
214,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1]",4,,101
233,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 0]",5,green,83
242,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1]",2,,96
244,"[4, 5, 1, 1, 3, 2]",4,,21
251,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 0]",5,green,65
263,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 0]",5,green,78
268,"[4, 3, 2, 1, 3, 1, 4, 1, 2]",4,,29
274,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1]",4,,91
283,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 0]",1,green,60
304,"[4, 3, 2, 1, 3, 1, 4]",4,,24
310,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1]",4,,86
319,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0]",1,green,55
322,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1]",4,,99
325,"[4, 5, 1, 1, 3, 4, 0]",1,green,24
334,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1]",4,,68
350,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 1]",2,,81
364,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2]",4,,94
377,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 0]",5,green,63
395,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 0]",5,green,76
412,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2]",4,,89
425,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 0]",5,green,58
433,"[4, 5, 1, 1, 3, 4, 2, 0]",1,green,27
445,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 0]",1,green,71
466,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1]",4,,84
479,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 0]",5,green,53
